name;count
4th Street Northeast;318
Bluff Street;318
Ashley Court;318
Fair Street;318
Yorkshire Drive;318
Wayne Avenue;318
Sunnyside Drive;318
Murphy Road;318
Georgia Street;317
Sunrise Court;317
East Chestnut Street;317
School House Road;317
Glendale Avenue;317
Wood Avenue;317
50th Street;317
Calhoun Street;317
Palmer Road;316
North Lincoln Street;316
Cox Road;316
Cobblestone Drive;316
Redbud Lane;316
3rd Street Northwest;315
Powell Road;315
Cottonwood Court;315
Pleasant View Drive;315
East 4th Avenue;315
Eagle Court;315
Maiden Lane;315
North Chestnut Street;315
3rd Avenue Southwest;315
South Railroad Street;315
Stevens Road;314
Misty Lane;314
Liberty Road;314
Gibson Road;314
Honeysuckle Drive;314
Belmont Drive;314
Graham Road;314
Dogwood Circle;313
Marshall Avenue;313
Powell Street;313
South Madison Street;313
Ash Lane;313
Irving Street;313
Crystal Lane;313
38th Street;313
Devonshire Drive;313
Alabama Street;313
North Cherry Street;312
Pacific Street;312
Huckleberry Lane;312
Old State Road;312
Spruce Road;312
West Cedar Street;312
Bridge Road;312
South High Street;312
Olive Avenue;312
Riviera Drive;312
Cindy Lane;311
Northeast 2nd Street;311
South 23rd Street;311
Anderson Avenue;311
45th Street;311
Colonial Court;311
South Locust Street;311
North 25th Street;311
North Park Avenue;311
Lantern Lane;311
Redwood Avenue;310
West 25th Street;310
Pine Circle;310
Cherokee Road;310
West 3rd Avenue;310
Prairie Avenue;310
Oakview Drive;310
Mason Road;309
Alexander Road;309
1st Street Northwest;309
Iowa Avenue;309
Richard Street;309
Sunset Circle;309
Texas Street;309
36th Street;309
Harvard Avenue;309
Lawrence Road;309
Homestead Lane;309
Windsor Road;309
David Street;309
Cherokee Trail;309
Ryan Road;309
Shaw Road;308
Spruce Court;308
39th Street;308
Waterford Drive;308
Spring Valley Road;308
Sterling Drive;307
Murray Street;307
Russell Avenue;307
Canal Road;307
Louise Street;307
Lee Lane;307
Adams Drive;307
Morris Avenue;307
Terry Lane;307
Parker Avenue;307
Carolina Avenue;307
East 22nd Street;307
Anderson Lane;306
3rd Street Southwest;306
Linden Drive;306
West Adams Street;306
Jefferson Drive;306
23rd Avenue;306
3rd Avenue North;306
Dewey Avenue;306
2nd Avenue North;306
Cole Road;305
Cole Street;305
Linda Drive;305
Oxford Court;305
Morgan Lane;305
Cherokee Lane;305
Reynolds Street;305
Palmer Drive;305
New Hope Road;305
Vermont Avenue;304
Elizabeth Lane;304
Williams Lane;304
Thompson Avenue;304
Village Court;304
Barnes Road;304
Deer Run Drive;304
Elm Lane;304
Brookview Drive;304
East 23rd Street;304
Berkshire Drive;303
Heather Court;303
2nd Avenue Northeast;303
Pear Street;303
Sierra Drive;303
Juniper Court;303
Ridgewood Road;303
Alabama Avenue;303
Iris Lane;302
Bishop Road;302
Salem Road;302
Dawn Drive;302
Stratford Drive;302
Stewart Avenue;302
East 29th Street;302
Meadowbrook Road;301
Southwest 4th Street;301
Willow Way;301
Berry Road;301
Southwood Drive;301
