zip;city;state_id;state_name;population;county_name
01129;Springfield;MA;Massachusetts;6762;Hampden
01151;Indian Orchard;MA;Massachusetts;8807;Hampden
01199;Springfield;MA;Massachusetts;0;Hampden
01201;Pittsfield;MA;Massachusetts;44607;Berkshire
01220;Adams;MA;Massachusetts;8209;Berkshire
01222;Ashley Falls;MA;Massachusetts;810;Berkshire
01223;Becket;MA;Massachusetts;2402;Berkshire
01224;Berkshire;MA;Massachusetts;210;Berkshire
01225;Cheshire;MA;Massachusetts;3135;Berkshire
01226;Dalton;MA;Massachusetts;6782;Berkshire
01229;Glendale;MA;Massachusetts;70;Berkshire
01230;Great Barrington;MA;Massachusetts;8542;Berkshire
01235;Hinsdale;MA;Massachusetts;2640;Berkshire
01236;Housatonic;MA;Massachusetts;1140;Berkshire
01237;Lanesborough;MA;Massachusetts;2580;Berkshire
01238;Lee;MA;Massachusetts;5903;Berkshire
01240;Lenox;MA;Massachusetts;4441;Berkshire
01242;Lenox Dale;MA;Massachusetts;471;Berkshire
01243;Middlefield;MA;Massachusetts;257;Hampshire
01244;Mill River;MA;Massachusetts;74;Berkshire
01245;Monterey;MA;Massachusetts;809;Berkshire
01247;North Adams;MA;Massachusetts;15573;Berkshire
01253;Otis;MA;Massachusetts;672;Berkshire
01254;Richmond;MA;Massachusetts;1014;Berkshire
01255;Sandisfield;MA;Massachusetts;972;Berkshire
01256;Savoy;MA;Massachusetts;719;Berkshire
01257;Sheffield;MA;Massachusetts;2003;Berkshire
01258;South Egremont;MA;Massachusetts;489;Berkshire
01259;Southfield;MA;Massachusetts;528;Berkshire
01260;South Lee;MA;Massachusetts;481;Berkshire
01262;Stockbridge;MA;Massachusetts;1066;Berkshire
01264;Tyringham;MA;Massachusetts;196;Berkshire
01266;West Stockbridge;MA;Massachusetts;1369;Berkshire
01267;Williamstown;MA;Massachusetts;7955;Berkshire
01270;Windsor;MA;Massachusetts;770;Berkshire
01301;Greenfield;MA;Massachusetts;17713;Franklin
01330;Ashfield;MA;Massachusetts;1367;Franklin
01331;Athol;MA;Massachusetts;13383;Worcester
01337;Bernardston;MA;Massachusetts;2498;Franklin
01338;Buckland;MA;Massachusetts;127;Franklin
01339;Charlemont;MA;Massachusetts;1428;Franklin
